date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:45:02	12397/12397	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Mar%202026%2013:45:03%20GMT	https://static.wixstatic.com/media/8c1622_2824974ac61c4db988be0ac27d14d5c3~mv2.png/v1/fill/w_257,h_59,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/pngfind_com-factory-png-1700982.png	C:/My%20Web%20Sites/Clone-Website/static.wixstatic.com/media/8c1622_2824974ac61c4db988be0ac27d14d5c3_mv2.png/v1/fill/w_257,h_59,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/pngfind_com-factory-png-1700982.png	(from https://www.sohoapparel.com/about)
20:45:03	20605/20605	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Mar%202026%2013:45:03%20GMT	https://static.wixstatic.com/media/8c1622_a941bae759b94881bdc603c5fb192f80~mv2.png/v1/fill/w_257,h_78,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/8c1622_a941bae759b94881bdc603c5fb192f80~mv2.png	C:/My%20Web%20Sites/Clone-Website/static.wixstatic.com/media/8c1622_a941bae759b94881bdc603c5fb192f80_mv2.png/v1/fill/w_257,h_78,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/8c1622_a941bae759b94881bdc603c5fb192f80_mv2.png	(from https://www.sohoapparel.com/about)
20:45:03	11049/11049	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Mar%202026%2013:45:03%20GMT	https://static.wixstatic.com/media/8c1622_f77fbc7bb33a4a50a74c3ec4a5b5d4d8~mv2.png/v1/fill/w_172,h_172,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/25d9cfd38fab89b848ddcfd9a5492476.png	C:/My%20Web%20Sites/Clone-Website/static.wixstatic.com/media/8c1622_f77fbc7bb33a4a50a74c3ec4a5b5d4d8_mv2.png/v1/fill/w_172,h_172,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/25d9cfd38fab89b848ddcfd9a5492476.png	(from https://www.sohoapparel.com/about)
20:45:04	15106/15106	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Mar%202026%2013:45:04%20GMT	https://static.wixstatic.com/media/8c1622_85b199ed341d44529fa4c873d187e9b2~mv2.png/v1/fill/w_180,h_100,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/pngfind_com-discount-png-271335.png	C:/My%20Web%20Sites/Clone-Website/static.wixstatic.com/media/8c1622_85b199ed341d44529fa4c873d187e9b2_mv2.png/v1/fill/w_180,h_100,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/pngfind_com-discount-png-271335.png	(from https://www.sohoapparel.com/about)
20:45:04	6563/6563	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Mar%202026%2013:45:04%20GMT	https://static.wixstatic.com/media/8c1622_801135dcc3ce4e53826f92a4206d143a~mv2.png/v1/fill/w_320,h_78,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/pngwing_com.png	C:/My%20Web%20Sites/Clone-Website/static.wixstatic.com/media/8c1622_801135dcc3ce4e53826f92a4206d143a_mv2.png/v1/fill/w_320,h_78,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/pngwing_com.png	(from https://www.sohoapparel.com/about)
20:45:04	10463/10463	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Mar%202026%2013:45:05%20GMT	https://static.wixstatic.com/media/8c1622_2232de590aa34909ae67111140c3731f~mv2.png/v1/fill/w_237,h_156,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/8c1622_2232de590aa34909ae67111140c3731f~mv2.png	C:/My%20Web%20Sites/Clone-Website/static.wixstatic.com/media/8c1622_2232de590aa34909ae67111140c3731f_mv2.png/v1/fill/w_237,h_156,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/8c1622_2232de590aa34909ae67111140c3731f_mv2.png	(from https://www.sohoapparel.com/about)
20:45:05	3527/3527	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Mar%202026%2013:45:05%20GMT	https://static.wixstatic.com/media/8c1622_b231bdbcdb2849bbb9275844ef7b4b53~mv2.png/v1/fill/w_227,h_156,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/8c1622_b231bdbcdb2849bbb9275844ef7b4b53~mv2.png	C:/My%20Web%20Sites/Clone-Website/static.wixstatic.com/media/8c1622_b231bdbcdb2849bbb9275844ef7b4b53_mv2.png/v1/fill/w_227,h_156,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/8c1622_b231bdbcdb2849bbb9275844ef7b4b53_mv2.png	(from https://www.sohoapparel.com/about)
20:45:05	16335/16335	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Mar%202026%2013:45:05%20GMT	https://static.wixstatic.com/media/8c1622_7db58494aafe4cf6928dac544b5cfd8d~mv2.png/v1/fill/w_191,h_87,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/pngwing_com.png	C:/My%20Web%20Sites/Clone-Website/static.wixstatic.com/media/8c1622_7db58494aafe4cf6928dac544b5cfd8d_mv2.png/v1/fill/w_191,h_87,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/pngwing_com.png	(from https://www.sohoapparel.com/about)
20:45:05	5057/5057	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Mar%202026%2013:45:06%20GMT	https://static.wixstatic.com/media/8c1622_9b5e985413dc432f8860645036211670~mv2.png/v1/fill/w_172,h_78,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/windsor-logo-official.png	C:/My%20Web%20Sites/Clone-Website/static.wixstatic.com/media/8c1622_9b5e985413dc432f8860645036211670_mv2.png/v1/fill/w_172,h_78,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/windsor-logo-official.png	(from https://www.sohoapparel.com/about)
20:45:05	160859/160859	---MCZ	200	added ('OK')	application/javascript	etag:W/%223a4c047e7d1dd8bbcae90b98ed13a788%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.791044f4.bundle.min.js	C:/My%20Web%20Sites/Clone-Website/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.791044f4.bundle.min.js	(from https://www.sohoapparel.com/about)
